country,match_day,total_requests
Argentina,2026-05-01,22
Argentina,2026-06-12,141
Argentina,2026-06-13,173
Argentina,2026-06-14,132
Argentina,2026-06-15,129
Argentina,2026-06-18,137
Argentina,2026-06-19,142
Argentina,2026-06-22,177
Argentina,2026-06-25,1014
Argentina,2026-07-04,238
Argentina,2026-07-10,280
Argentina,2026-07-19,827
Argentina,2026/06/25,16
Argentina,not-a-date,22
Brazil,2026-05-01,21
Brazil,2026-06-12,145
Brazil,2026-06-13,163
Brazil,2026-06-14,126
Brazil,2026-06-15,140
Brazil,2026-06-18,122
Brazil,2026-06-19,149
Brazil,2026-06-22,180
Brazil,2026-06-25,1034
Brazil,2026-07-04,225
Brazil,2026-07-10,286
Brazil,2026-07-19,891
Brazil,2026/06/25,22
Brazil,not-a-date,29
Canada,2026-05-01,20
Canada,2026-06-12,131
Canada,2026-06-13,165
Canada,2026-06-14,146
Canada,2026-06-15,157
Canada,2026-06-18,142
Canada,2026-06-19,149
Canada,2026-06-22,175
Canada,2026-06-25,1094
Canada,2026-07-04,271
Canada,2026-07-10,280
Canada,2026-07-19,878
Canada,2026/06/25,22
Canada,not-a-date,24
Germany,2026-05-01,21
Germany,2026-06-12,123
Germany,2026-06-13,164
Germany,2026-06-14,149
Germany,2026-06-15,126
Germany,2026-06-18,162
Germany,2026-06-19,144
Germany,2026-06-22,195
Germany,2026-06-25,1015
Germany,2026-07-04,237
Germany,2026-07-10,288
Germany,2026-07-19,859
Germany,2026/06/25,25
Germany,not-a-date,30
Iran,2026-05-01,26
Iran,2026-06-12,135
Iran,2026-06-13,200
Iran,2026-06-14,131
Iran,2026-06-15,122
Iran,2026-06-18,132
Iran,2026-06-19,150
Iran,2026-06-22,169
Iran,2026-06-25,1042
Iran,2026-07-04,235
Iran,2026-07-10,266
Iran,2026-07-19,810
Iran,2026/06/25,28
Iran,not-a-date,27
Japan,2026-05-01,22
Japan,2026-06-12,139
Japan,2026-06-13,177
Japan,2026-06-14,152
Japan,2026-06-15,134
Japan,2026-06-18,130
Japan,2026-06-19,138
Japan,2026-06-22,186
Japan,2026-06-25,1002
Japan,2026-07-04,246
Japan,2026-07-10,253
Japan,2026-07-19,841
Japan,2026/06/25,31
Japan,not-a-date,20
Mexico,2026-05-01,21
Mexico,2026-06-12,138
Mexico,2026-06-13,174
Mexico,2026-06-14,142
Mexico,2026-06-15,125
Mexico,2026-06-18,117
Mexico,2026-06-19,137
Mexico,2026-06-22,171
Mexico,2026-06-25,1048
Mexico,2026-07-04,276
Mexico,2026-07-10,273
Mexico,2026-07-19,892
Mexico,2026/06/25,23
Mexico,not-a-date,28
USA,2026-05-01,21
USA,2026-06-12,122
USA,2026-06-13,178
USA,2026-06-14,137
USA,2026-06-15,150
USA,2026-06-18,157
USA,2026-06-19,124
USA,2026-06-22,173
USA,2026-06-25,1060
USA,2026-07-04,252
USA,2026-07-10,258
USA,2026-07-19,804
USA,2026/06/25,27
USA,not-a-date,15
